"Data Import Template"
"Table:","Custom Field"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Custom Field","","","","","","","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Document","Field Type","Label","Insert After","Precision","Options","Field Description","Fieldname","Permission Level","Is Mandatory Field","Read Only","Ignore User Permissions","Width","Default Value","Hidden","Depends On","Print Hide","No Copy","Allow on Submit","In Report Filter","In List View","Report Hide"
"","""Sales Order-bill_to_address""","Sales Order","Small Text","Billing Address","customer_address","","","","bill_to_address",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-customer_address_column""","Sales Order","Column Break","Customer Address Column","shipping_address","","","","customer_address_column",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-customer_addresses""","Sales Order","Section Break","Customer Addresses","contact_person","","","","customer_addresses",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-tender_group""","Sales Invoice","Link","Tender Group","budget","","Tender Group","","tender_group",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-comment""","Sales Invoice","Small Text","Comment","due_date","","","","comment",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-order_end_date""","Sales Invoice","Date","End Date","start_date","","","","order_end_date",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Invoice-start_date""","Sales Invoice","Date","Start Date","tender_group","","","","start_date",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Scheduler Log-obj_traceback""","Scheduler Log","Text","obj_traceback","error","","","","obj_traceback",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-new_order_type""","Sales Order","Select","Order Type","order_type","","Standard Order
Standing Order
Reader Request","","new_order_type",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-billing_address_name""","Sales Order","Link","Dummy Billing Address","customer_address_column","","Address","","billing_address_name",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Order-modified_date""","Sales Order","Data","Modified Date","comment","","","","modified_date",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Order-comment""","Sales Order","Small Text","Comment","po_no","","","","comment",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-sales_order_status""","Sales Order","Select","Sales Order Status","entity_id","","Existing
Non Existing","","sales_order_status",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Order-tender_group""","Sales Order","Link","Tender Group","budget","","Tender Group","","tender_group",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-budget""","Sales Order","Link","Budget","entity_id","","Budget","","budget",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-entity_id""","Sales Order","Data","Order Number","organisation","","","","entity_id",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-organisation""","Sales Order","Data","Organisation","priority","","","","organisation",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Order-priority""","Sales Order","Select","Priority","order_type","","Low
High","","priority",0,1,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice Item-budget""","Sales Invoice Item","Link","Budget","delivered_qty","","Budget","","budget",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Invoice Item-process_id""","Sales Invoice Item","Link","Process ID","sales_order","","Process","","process_id",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice Item-gst_value""","Sales Invoice Item","Data","GST Value","gst","","","","gst_value",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Invoice Item-gst""","Sales Invoice Item","Data","GST","rrp","","","In %","gst",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Invoice Item-rrp""","Sales Invoice Item","Link","RRP","item_group","","Price List","","rrp",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Invoice Item-assigned_qty""","Sales Invoice Item","Float","Assigned Qty","stock_uom","","","","assigned_qty",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice Item-advance_paid""","Sales Invoice Item","Currency","Advance Paid","description","","","","advance_paid",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Invoice Item-shelf_ready_service_name""","Sales Invoice Item","Data","Shelf Ready Service  Name","description","","","","shelf_ready_service_name",0,0,1,0,"","",1,"",0,0,0,0,0,0
"","""Sales Invoice Item-line_item""","Sales Invoice Item","Data","Line Order Number","item_name","","","","line_item",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice Item-marcfile_name""","Sales Invoice Item","Data","MARCfile Name","item_name","","","","marcfile_name",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-start_date""","Sales Order","Date","Start Date","po_no","","","","start_date",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order-order_end_date""","Sales Order","Date","End Date","start_date","","","","order_end_date",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-organisation""","Sales Invoice","Data","Organisation","currency","","","","organisation",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Invoice-bill_to_address""","Sales Invoice","Small Text","Billing Address","customer_addresses","","","","bill_to_address",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-column_break""","Sales Invoice","Column Break","Column Break","shipping_address","","","","column_break",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-customer_addresses""","Sales Invoice","Section Break","Customer Addresses","shipping_address","","","","customer_addresses",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-budget""","Sales Invoice","Link","Budget","order_type","","Budget","","budget",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-new_order_type""","Sales Invoice","Select","Order Type","order_type","","Standard Order
Standing Order
Reader Request","","new_order_type",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-order_type""","Sales Invoice","Select","Order Type","po_no","","Sales
Maintenance
Shopping Cart","","order_type",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Invoice-entity_id""","Sales Invoice","Data","Order Number","po_no","","","","entity_id",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-po_no""","Sales Invoice","Data","PO No","mode_of_payment","","","","po_no",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Invoice-contract_number""","Sales Invoice","Data","Contract Number","customer","","","","contract_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order Item-gst_value""","Sales Order Item","Data","GST Value","budget","","","","gst_value",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order Item-budget""","Sales Order Item","Link","Budget","order_number","","Budget","","budget",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order Item-column_break_1""","Sales Order Item","Column Break","column break 1","order_number","","","","column_break_1",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order Item-gst""","Sales Order Item","Data","GST","order_number","","","In %","gst",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order Item-order_number""","Sales Order Item","Data","Order Number","rrp","","","","order_number",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order Item-rrp""","Sales Order Item","Link","RRP","item_details","","Price List","","rrp",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order Item-item_details""","Sales Order Item","Section Break","Item Details","transaction_date","","","","item_details",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Order Item-advance_paid""","Sales Order Item","Currency","Advance Paid","assigned_qty","","","","advance_paid",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Order Item-assigned_qty""","Sales Order Item","Float","Assigned Qty","description","","","","assigned_qty",0,0,1,0,"","0.0",0,"",0,0,0,0,0,0
"","""Sales Order Item-po_child_name""","Sales Order Item","Data","PO Child name","po_name","","","","po_child_name",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Order Item-po_name""","Sales Order Item","Link","Po Name","description","","Purchase Order","","po_name",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Sales Order Item-line_item""","Sales Order Item","Data","Line Order Item","item_name","","","","line_item",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Order Item-release_date_of_item""","Sales Order Item","Date","Release Date Of Item","item_name","","","","release_date_of_item",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Packing Slip Item-against_sales_order""","Packing Slip Item","Link","Against Sales Order","weight_uom","","Sales Order","","against_sales_order",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Attendance-attendance_time_sheet""","Attendance","Table","Attendance Time Sheet","attendance_time_sheet","","Attendance Time Sheets","","attendance_time_sheet",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Attendance-1""","Attendance","Column Break","1","total_break_hours","","","","1",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Attendance-total_hours""","Attendance","Float","Total Worked Hours","attendance_time_sheet","2","","","total_hours",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Employee-digitales_salary_structure""","Employee","Select","Digitales Salary Structure","col_break_22","","Yes
No","","digitales_salary_structure",0,1,0,0,"","",0,"",0,0,0,0,0,0
"","""Employee-hour_rate""","Employee","Currency","Rate Per Hour","digitales_salary_structure","","","Rate per hour for salary calculation","hour_rate",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Sales Taxes and Charges-discount_percentage""","Sales Taxes and Charges","Data","Discount Percentage","rate","","","","discount_percentage",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Item-product_release_date""","Item","Date","Product Release Date","item_name","","","","product_release_date",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Attendance-total_break_hours""","Attendance","Float","Total Break Hours","total_hours","2","","","total_break_hours",0,0,1,0,"","",1,"eval:doc.status!='Absent'",0,0,0,0,0,0
"","""Item-sale_price""","Item","Data","Sale Price","selling_cost_center","","","","sale_price",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Item-item_status""","Item","Select","Item Status","event_id","","Existing
Non Existing","","item_status",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Item-rrp""","Item","Link","RRP","sale_price","","Price List","","rrp",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Contact-entity_id""","Contact","Data","Entity ID","customer_name","","","","entity_id",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Customer-customer_status""","Customer","Select","Customer Status","entity_id","","Existing
Non Existing","","customer_status",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Customer-contract_form_no""","Customer","Link","Contract Form No","territory","","Customer Contract Form","","contract_form_no",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Customer-tender_group""","Customer","Link","Tender Group","contract_form_no","","Tender Group","","tender_group",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-shelf_ready_services_details""","Customer","Table","Shelf Ready Services Details","communications","","Shelf Ready Services","","shelf_ready_services_details",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-budget_details""","Customer","Table","Budget Details","shelf_ready_services_details","","Budget Details","","budget_details",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-contract_details""","Customer","Table","Contract Details","budget_details","","Contract Details","","contract_details",0,0,0,0,"","",0,"",0,0,0,0,0,0
"","""Customer-entity_id""","Customer","Data","Entity ID","lead_name","","","","entity_id",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Item-event_id""","Item","Data","Entity  ID","product_release_date","","","","event_id",0,0,0,0,"","",1,"",0,0,0,0,0,0
"","""Delivery Note Item-assigned_qty""","Delivery Note Item","Float","Assigned Qty","description","","","","assigned_qty",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Address-entity_id""","Address","Data","Entity ID","lead_name","","","","entity_id",0,0,1,0,"","",0,"",0,0,0,0,0,0
"","""Customer-modified_date""","Customer","Data","Modified Date","tender_group","","","","modified_date",0,0,0,0,"","",1,"",0,0,0,0,0,0
